Type de panne;Durée arrêt (h);Résumé intervention;Date intervention;Désignation;Date demande;Cause;Coût matériel;Organe;[Pièce].Désignation;[Pièce].Référence;[Pièce].Quantité;[Pièce].Prix total
Hydraulique;1,5;Demontage des cartere de la COA / vidange du reservoir du COA / remplissage du reservoir COA( 80W-90) / remontage des carteres ;20/03/2025;machine1;20/03/2025 10:00;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Arrosage;0,75;Nettoyage de la pompe du convoyeur / nettoyage du filtre a tambour ;20/03/2025;machine6;20/03/2025 01:00;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Pneumatique;0,5;Verification du tuyaux de montage et de la pression de serrage (4bar);19/03/2025;machine2;19/03/2025 07:30;PROBLEME D'ASPIRATION;0;08-Système pneumatique;;;;
Mécanique;1,83333;Nettoyage du codeur de l'axe C / verification de la courroie d'axe C / prendre l'origine de l'axe C ;19/03/2025;machine2;19/03/2025 19:25;BLOCAGE AXES PRINCIPAUX;0;0242-Axe C;;;;
Arrosage;0,5;Nettoyage des pompes d'arrsoage ;19/03/2025;machine2;19/03/2025 23:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,5;Nettoyage du circuit d'arrosage normal  et de la pompe ;19/03/2025;machine2;19/03/2025 06:40;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,33333;Retour a l'etat intiale de changement d'outil ;19/03/2025;machine4;19/03/2025 20:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;6;Verification de l'etat de la fraise 20 / demander a l'op de modifier sur le prog ( avance + rabide);19/03/2025;machine3;19/03/2025 18:30;SURCHARGE BROCHE;0;01-Broche ;;;;
Mécanique;1;Changement de la votre de la porte operateur ;18/03/2025;machine2;05/03/2025 10:00;Choc vitre;690;10-Bâti ;93-2223 VITRE OPERATEUR VF;M-V0005;1.0;690
Arrosage;1,23333;Nettoyage du bag d'arrosage / nettoyage de la pompe / reparation du filtre(metal) d'arrosage ;18/03/2025;machine2;18/03/2025 23:46;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,41667;Verification des conditions de changement d'outil / retour a l'etat intial de changement d'outil ;18/03/2025;machine2;18/03/2025 11:20;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,33333;Verification des cables codeurs du moteur lineaire et rotative / prendre l'origine de changement d'outil ;18/03/2025;machine3;18/03/2025 06:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;1,5;Elimination de la fuite sur le circuit de refroidissement / remplissage du groupe de refroidissement / remontage des carteres ;18/03/2025;machine3;18/03/2025 01:25;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Mécanique;0,58333;Reset power / verification de la presence d'outil T66 / demander a l'op d'effacer et renitialiser l'outil (T66);18/03/2025;machine3;12/03/2025 11:00;DEFAUT OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,75;Retour a l'etat initial du preneur / changement du pot d'outil (100) ;18/03/2025;machine3;18/03/2025 15:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;2,08333;Reparation du cable de la lampe ;18/03/2025;machine1;18/03/2025 19:30;PROBLEME D'ECLAIRAGE // SIGNALISATION;0;033-Equipements divers;;;;
Arrosage;0,66667;Nettoyage de la pompe d'arrosage /nettoyage des filtres du convoyeur ;18/03/2025;machine6;18/03/2025 17:15;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Arrosage;1,5;Nettoyage de la pompe d'arrosage au centre / nettoyage du limiteur de pression  ;18/03/2025;machine6;18/03/2025 02:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;1,66667;Nettoyage du circuit d'arrosage au centre et elimination du limiteur de pression ;18/03/2025;machine6;18/03/2025 07:10;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Electronique;0,5;Redemarrer la machine / retour a l'etat initiale ;17/03/2025;machine2;17/03/2025 06:50;PROBLEME ELECTRONIQUE;0;03-Armoire électrique ;;;;
Hydraulique;1,33333;Reset power machine / remplissage du groupe de refroidissement / verification du circuit du groupe de refroidissement ;17/03/2025;machine3;17/03/2025 15:15;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Mécanique;4,16667;Prendre l'origine du magasin d'outil / prendre l'origine du preneur / changement du pot d'outil ;17/03/2025;machine3;17/03/2025 14:50;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;9,41667;Reglage de la position du capteur outil serree et capteur d'outil ouvert / remontage des cartere broche ;17/03/2025;machine3;17/03/2025 14:05;BROCHE HS : SERRAGE OUTIL;0;01-Broche ;;;;
Arrosage;0,91667;Nettoyage de la pompe d'arrosage normal / verification du fonctionnement d'arrosage normal ;17/03/2025;machine6;17/03/2025 22:50;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Electronique;0,31667;Nettoyage du ventilateur ;17/03/2025;machine5;17/03/2025 15:11;PROBLEME DE REFROIDISSEMENT;0;034-Refoidisseur armoire ;;;;
Arrosage;0,75;Verification de la pompe d'arrosage centre / nettoyage du limiteur de pression ;17/03/2025;machine6;17/03/2025 23:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;15,5;Verification de l'etat des cables de communication / prendre l'orgine du preneur et du magasin d'outil ;16/03/2025;machine3;16/03/2025 17:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;6;Verification du circuit electrique de machine / verification des contacteurs de puissance / changement du contacteur de magasin d'outil / verification du parametre de variateur d'axe lineaire / verification du servo moteur et les cables codeur et pui;16/03/2025;machine3;16/03/2025 10:00;PROBLEME D'ARROSAGE;270;04-Groupe d'arrosage;CABLE CODEUR MOTEUR ATC;M-CAB0023;1.0;270
Mécanique;5,5;Verification de la fonction des capteurs / retour du pot d'outils au magasin d'outil / retour du pot cote broche / retour du magasin a l'etat intiale ;16/03/2025;machine1;16/03/2025 04:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;0,91667;Remplissage du groupe de refroidissement / prendre l'origine du magasin d'outil / retour du preneur a l'etat intiale ;15/03/2025;machine3;15/03/2025 03:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Arrosage;0,7;Nettoyage du circuit d'arrosage normal;14/03/2025;machine2;14/03/2025 16:28;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Pneumatique;1;Changement de la souflette +changement du tuyau ;14/03/2025;machine2;12/03/2025 08:00;MANQUE SOUFFLETTE;0;08-Système pneumatique ;;;;
Mécanique;0,5;Changement du pot d'outil / retour du preneur a l'etat initiale ;14/03/2025;machine3;14/03/2025 01:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;0,5;Remplissage du groupe de refroidissement / reset power machine / verification du circuit du groupe de refroidissement ;13/03/2025;machine3;13/03/2025 03:45;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Mécanique;4,75;Verification des capteurs de serrage outil / retour des conditons initial / retour de la position initiale du magasin ATC ;13/03/2025;machine3;13/03/2025 16:45;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,41667;Changement du pot d'outil (127) / prendre l'origine du magasin / retour du preneur a l'origine ;13/03/2025;machine3;13/03/2025 22:05;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;1,5;Verification geo des axes X Y Z B C / correction : avant X= 364.989  Y= -255.176  Z=-559.627 apres X=364.020   Y= -255.153   Z=-559.637;13/03/2025;machine1;13/03/2025 09:55;AMELIORATION MACHINE // VERIFICATION MACHINE;0;02-Axes;;;;
Arrosage;1,25;Nettoyage de la pompe d'arrosage / nettoyage du filtre du convoyeur ;13/03/2025;machine6;13/03/2025 21:20;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Electronique;0,41667;Verification de l'etat de l'outil / redemarrage de la machine ;13/03/2025;machine6;07/03/2025 07:25;PROBLEME ELECTRONIQUE;0;03-Armoire électrique ;;;;
Mécanique;0,58333;Probleme d'outils ;13/03/2025;machine6;13/03/2025 13:15;DEFAUT OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,66667;Controle geo machine / modification des valuers MRZP / piece test valide par la prod ;12/03/2025;machine2;12/03/2025 12:00;DECALAGE POSITION AXE;0;02-Axes ;;;;
Arrosage;0,41667;Nettoyage du filtre de retour d'arrosage ;12/03/2025;machine2;12/03/2025 11:25;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Mécanique;6,08333;Verification du faux rond et parallelisme et sonage broche ;12/03/2025;machine4;12/03/2025 03:25;SURCHARGE BROCHE;0;023-Axe Z;;;;
Pneumatique;0,33333;Reparation de la souflette d'air ;12/03/2025;machine3;12/03/2025 12:27;MANQUE SOUFFLETTE;0;08-Système pneaumatique;;;;
Arrosage;0,33333;Verification de l'etat du filtre d'arrosage centre / verification du fonctionnement d'arrosage centre (4.6 bar);11/03/2025;machine2;11/03/2025 10:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,5;Changement des vitres ;11/03/2025;machine2;11/03/2025 19:30;Choc vitre;185,18;10-Bâti ;VITRE 1100x1000x400mm VF3SS;M-V0007;2.0;185,18
Arrosage;0,33333;Nettoyage du circuit d'arrosage normal;11/03/2025;machine2;11/03/2025 17:45;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,66667;Verification de la vitesse d'axe Z in parametre 36200/ verification du bloc N21764 pour assurer que la vitesse de l'axe Z est correcte ;11/03/2025;machine3;11/03/2025 08:30;BLOCAGE AXES PRINCIPAUX;0;023-Axe Z;;;;
Mécanique;1,33333;Retour a l'etat intiale de changement d'outil ;11/03/2025;machine1;11/03/2025 18:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,35;Retour des palettes a l'etat initiale ;11/03/2025;machine1;11/03/2025 22:09;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;10;Voir rapport ;11/03/2025;machine1;03/03/2025 12:00;DECALAGE POSITION AXE;0;02-Axes;;;;
Hydraulique;0,25;Remplissage du niveau de groupe de refroidissement ;10/03/2025;machine3;10/03/2025 06:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Arrosage;0,48333;Nettoyage circuit d'arrosage normal / nettoyage des buses d'arrosage broche ;10/03/2025;machine2;10/03/2025 11:56;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;1;Nettoyage des deux filtres deux fois / nettoyage du circuit et capteur d'arrosage centre / changement du filtre ;10/03/2025;machine4;10/03/2025 09:30;PROBLEME D'ARROSAGE;786,94;04-Groupe d'arrosage;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;2.0;786,94
Mécanique;1,75;Verification de la position du capteur du magasin d'outils / decalage du capteur de position du magasin d'outil ;10/03/2025;machine3;10/03/2025 12:50;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;9,75;Deblocage du filtre de refrigirant / assurer que la pompe de retour d'arrosage fonctionne ;10/03/2025;machine3;09/03/2025 21:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Mécanique;1;Nettoyage de l'interieur de la porte ATC / deblocage de la porte ATC / verification de l'etat de changement outil ;10/03/2025;machine1;10/03/2025 20:40;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;0,5;Nettoyage de la pompe d'arrosage du convoyeur / rajouter le filtre de la pompe d'arrosage du convoyeur ;10/03/2025;machine6;10/03/2025 11:15;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Electronique;0,58333;Changement du projecteur de la lumiere a l'interieur de la machine et reparation de l'autre projecteur ;10/03/2025;machine7;10/03/2025 10:36;PROBLEME D'ECLAIRAGE // SIGNALISATION;37,03;03-Armoire électrique ;PROJECTEUR HAAS ;M-ECL0005;1.0;37,03
Arrosage;0,75;Nettoyage la pompe d'arrosage du convoyeur / nettoyage du tambour d'arrosage ;09/03/2025;machine1;09/03/2025 11:00;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Arrosage;0,5;Nettoyage des filtres d'arrosage centre ;09/03/2025;machine1;09/03/2025 14:40;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,41667;Reset power machine / verification de l'etat d'outil ;07/03/2025;machine3;07/03/2025 13:10;DEFAUT OUTIL;0;01-Broche ;;;;
Mécanique;0,58333;Prendre l'origine de changement d'outil  ;07/03/2025;machine3;07/03/2025 05:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;2,58333;Demontage des carteres de l'axe Z / verification du circuit d'huile / changement du distributeur volumique / amorcage de la pompe de lubrification des axes ;07/03/2025;machine1;07/03/2025 11:55;PRESSION HYDRAULIQUE FAIBLE;147;05-Unité de lubrification ;(P40184A01 RAMPE DE GRAISSAGE - DPB- 16 0.1cc) DISTRIBUTEUR DE GRAISSAGE 6 ENTRER ( dester plunger DPB-16 0.1 CC) ref P40184A01;M-DIS0011;1.0;147
Hydraulique;0,73333;Verification de la pompe hydraulique / verification de la pression de la pompe hydraulique / diminuer le niveau d'huile au reservoir ;07/03/2025;machine7;07/03/2025 10:00;PROBLEME DE LUBRIFICATION;0;01-Broche;;;;
Electronique;0,16667;Rearmement du contacteur de la pompe d'arrosage centre (QM84) ;07/03/2025;machine6;07/03/2025 08:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,8;Nettoyage du filtre d'arrosage du convoyeur et pompe ;07/03/2025;machine6;07/03/2025 00:12;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Arrosage;0,66667;Nettoyage du filtre d'arrosage centre / verification de pression d'arrosage centre ;07/03/2025;machine1;07/03/2025 04:45;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,91667;Nettoyage du filtre d'arrosage centre ;07/03/2025;machine1;07/03/2025 07:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;3,16667;Verification de l'etat des switches de la porte CPA / verification de l'enter et sortie de la switch /verification de la bobine des switchs du CPA ;06/03/2025;machine6;06/03/2025 06:00;BLOCAGE PORTE MACHINE / MAGASIN OUTIL;0;11-Bâti ;;;;
Mécanique;1,5;Verification de l'etat du variateur du magasin d'outil axe liniere et rotatif / prendre l'origine du magasin d'outil et preneur ;06/03/2025;machine3;06/03/2025 12:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Hydraulique;1,16667;Remplissage du reservoir du groupe de refroidissement / verification du circuit ;06/03/2025;machine3;06/03/2025 00:30;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Electronique;2;Changement du projecteur de la machine / ajouter deux vis pour fixer le projecteur ;06/03/2025;machine1;06/03/2025 09:30;AMELIORATION MACHINE // VERIFICATION MACHINE;37,03;033-Equipements divers;PROJECTEUR HAAS ;M-ECL0005;1.0;37,03
Hydraulique;6,83333;Verification du circuit d'huile / verification de la pression de la pompe hydraulique / nettoyage de la pompe et circuit d'huile /vidange du reservoir de la pompe de graissage /remplissage du reservoir d'huile / nettoyage du distributeur hydraulique ;06/03/2025;machine1;06/03/2025 12:10;PRESSION HYDRAULIQUE FAIBLE;0;05-Unité de lubrification ;;;;
Arrosage;0,25;Nettoyage de la pompe d'arrosage normal / verification du focntionnement d'arrosage normal ;06/03/2025;machine6;06/03/2025 20:35;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,83333;Defaut sur l'etat d'outils ;05/03/2025;machine2;05/03/2025 17:10;DEFAUT OUTIL;0;01-Broche;;;;
Mécanique;0,33333;Verification de l'etat de l'outil dans la broche /  controle de la force de serrage 7.6 KN / demander a l'operateur de changer l'outils ;05/03/2025;machine2;05/03/2025 09:45;DEFAUT OUTIL;0;01-Broche;;;;
Arrosage;0,51667;Verification de l'etat des filtres d'arrosage centre / nettoyage du filtre de la pompe d'arrosage au centre /verification du fonctionnement d'arrosage  ;05/03/2025;machine2;05/03/2025 17:39;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,75;Retour a l'etat intiale de changement d'outil ;05/03/2025;machine2;05/03/2025 00:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;13,33333;Modification des valeurs cinematique Yn=+0.02 Zn= +0.02;05/03/2025;machine3;05/03/2025 06:00;DECALAGE POSITION AXE;0;02-Axes;;;;
Mécanique;4,25;Modification de l'axe Yn=0.025;05/03/2025;machine3;05/03/2025 22:45;DECALAGE POSITION AXE;0;02-Axes;;;;
Mécanique;0,33333;Nettoyage des rails de la porte COA / verification de la fermeture et ouverture de la porte COA ;05/03/2025;machine1;05/03/2025 20:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
