Type de panne;Durée arrêt (h);Résultat;Date intervention;Désignation;Coût matériel;[Pièce].Désignation;[Pièce].Référence;[Pièce].Quantité
Arrosage;1,08333;;16/04/2025;machine5;0;;;
Arrosage;0,83333;;16/04/2025;machine1;0;;;
Mécanique;1,5;;16/04/2025;machine1;0;;;
Mécanique;2,5;;16/04/2025;machine2;0;;;
Arrosage;1,83333;;16/04/2025;machine3;0;;;
Hydraulique;0,5;;16/04/2025;machine4;0;;;
Arrosage;0,5;;15/04/2025;machine5;0;;;
Arrosage;1,41667;;15/04/2025;machine5;0;;;
Arrosage;0,5;;15/04/2025;machine5;0;;;
Arrosage;3,33333;;15/04/2025;machine5;0;;;
Arrosage;0,41667;;15/04/2025;machine5;0;;;
Arrosage;1,5;;15/04/2025;machine5;0;;;
Arrosage;0,91667;;15/04/2025;machine5;0;;;
Arrosage;0,46667;;14/04/2025;machine5;0;;;
Arrosage;0,38333;;14/04/2025;machine5;0;;;
Mécanique;19,66667;;14/04/2025;machine5;0;;;
Arrosage;0,25;;14/04/2025;machine5;0;;;
Electronique;0,5;;14/04/2025;machine5;0;;;
Arrosage;0,33333;;14/04/2025;machine4;0;;;
Arrosage;0,5;;14/04/2025;machine4;0;;;
Electronique;0,5;;14/04/2025;machine5;0;;;
Arrosage;1,5;;14/04/2025;machine4;0;;;
Arrosage;1,66667;;12/04/2025;machine5;0;;;
Mécanique;9,03333;;12/04/2025;machine2;0;;;
Mécanique;9,03333;;12/04/2025;machine2;0;;;
Arrosage;0,6;;11/04/2025;machine5;0;;;
Arrosage;1;;11/04/2025;machine3;0;;;
Hydraulique;0,53333;;11/04/2025;machine2;0;;;
Mécanique;0,28333;;11/04/2025;machine2;0;;;
Mécanique;131,16667;;10/04/2025;machine5;0;;;
Mécanique;0,46667;;10/04/2025;machine5;0;;;
Mécanique;1,75;;10/04/2025;machine3;0;;;
Mécanique;0,5;;10/04/2025;machine1;0;;;
Arrosage;1,83333;;10/04/2025;machine3;0;;;
Mécanique;5,91667;;10/04/2025;machine7;3650;FPS08203206 Protecteur télescopique 1335/435;M-PR0017;1.0
Arrosage;0,43333;;09/04/2025;machine3;0;;;
Hydraulique;0,75;;09/04/2025;machine1;0;;;
Mécanique;1,83333;;09/04/2025;machine1;0;;;
Hydraulique;1,11667;;09/04/2025;machine1;0;;;
Mécanique;0,75;;09/04/2025;machine2;0;;;
Hydraulique;0,41667;;09/04/2025;machine2;0;;;
Mécanique;1,16667;;09/04/2025;machine4;835;VITRE PORTE OPERATEUR NHX (vitrage de securite multicouche 570x780x24);M-V0002;1.0
Mécanique;1,58333;;09/04/2025;machine4;835;VITRE PORTE OPERATEUR NHX (vitrage de securite multicouche 570x780x24);M-V0002;1.0
Arrosage;0,58333;;08/04/2025;machine5;0;;;
Arrosage;4;;08/04/2025;machine3;0;;;
Hydraulique;3,25;;08/04/2025;machine1;0;;;
Mécanique;0,28333;;08/04/2025;machine2;0;;;
Arrosage;0,16667;;07/04/2025;machine5;0;;;
Arrosage;0,4;;07/04/2025;machine5;0;;;
Arrosage;1,75;;07/04/2025;machine5;0;;;
Arrosage;0,5;;07/04/2025;machine5;0;;;
Pneumatique;1,41667;;07/04/2025;machine5;0;;;
Arrosage;0,5;;07/04/2025;machine3;0;;;
Arrosage;0,66667;;07/04/2025;machine3;0;;;
Mécanique;11;;07/04/2025;machine2;0;;;
Electronique;3,91667;;06/04/2025;machine1;0;;;
Hydraulique;1,08333;;06/04/2025;machine2;0;;;
Mécanique;0,58333;;06/04/2025;machine2;0;;;
Arrosage;0,83333;;05/04/2025;machine5;0;;;
Mécanique;0,38333;;05/04/2025;machine5;0;;;
Arrosage;1,25;;04/04/2025;machine5;0;;;
Arrosage;2,83333;;04/04/2025;machine3;0;;;
Arrosage;0,33333;;04/04/2025;machine3;0;;;
Electronique;1,5;;04/04/2025;machine1;471,11;VARIATEUR OMRAN SGDH-02AE // AXE LINEAIRE ET ROTATIF;M-VAR0008;1.0
Mécanique;0,25;;04/04/2025;machine1;0;;;
Mécanique;0,5;;03/04/2025;machine1;0;;;
Arrosage;1,66667;;03/04/2025;machine5;0;;;
Mécanique;2,66667;;03/04/2025;machine5;0;;;
Arrosage;2,25;;03/04/2025;machine3;0;;;
Programme;0,5;;03/04/2025;machine2;0;;;
Arrosage;0,33333;;03/04/2025;machine3;0;;;
Electronique;12,5;;03/04/2025;machine8;394,68;RELAIS RI-D25MU (COIL DC24V);M-REL0003;3.0
Electronique;12,5;;03/04/2025;machine8;394,68;FREIN ELECTROMAGNETIQUE D'AXE X;M-FR0003;1.0
Hydraulique;3,08333;;02/04/2025;machine6;0;;;
Arrosage;0,5;;02/04/2025;machine5;0;;;
Arrosage;0,66667;;02/04/2025;machine3;0;;;
Arrosage;0,66667;;02/04/2025;machine1;0;;;
Electronique;1;;02/04/2025;machine8;389,58;SECURITE PORTE NHX;M-CAPT0010;1.0
Mécanique;1,75;;01/04/2025;machine1;0;;;
Hydraulique;1,08333;;29/03/2025;machine2;0;;;
Automate;5;;28/03/2025;machine5;0;;;
Electronique;0,58333;;28/03/2025;machine1;0;;;
Hydraulique;0,75;;28/03/2025;machine2;0;;;
Mécanique;114,71667;;28/03/2025;machine5;0;;;
Mécanique;2;;27/03/2025;machine5;1700;Protecteur d'axe X droit ( SOUFFLET AXE X DROIT 59-1336);M-PR0019;1.0
Arrosage;0,33333;;27/03/2025;machine5;0;;;
Arrosage;0,41667;;27/03/2025;machine5;0;;;
Arrosage;1;;27/03/2025;machine5;0;;;
Mécanique;0,66667;;27/03/2025;machine2;0;;;
Mécanique;0,51667;;26/03/2025;machine5;0;;;
Mécanique;1,16667;;26/03/2025;machine5;0;;;
Mécanique;1;;26/03/2025;machine5;0;;;
Arrosage;0,41667;;26/03/2025;machine3;0;;;
Arrosage;1,08333;;26/03/2025;machine3;0;;;
Arrosage;0,58333;;26/03/2025;machine3;0;;;
Mécanique;0,5;;26/03/2025;machine1;0;;;
Electrique;0,5;;26/03/2025;machine1;0;;;
Mécanique;38,25;;26/03/2025;machine1;0;;;
Mécanique;5,18333;;25/03/2025;machine5;46,3;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0
Mécanique;1,36667;;25/03/2025;machine5;0;;;
Mécanique;0,33333;;25/03/2025;machine3;0;;;
Mécanique;0,8;;25/03/2025;machine1;0;;;
Mécanique;0,5;;25/03/2025;machine2;0;;;
Mécanique;1,25;;25/03/2025;machine2;0;;;
Mécanique;1,5;;25/03/2025;machine8;51,85;VENTILATEUR DC24V 120X120X38;M-VEN0005;1.0
Arrosage;0,33333;;24/03/2025;machine5;0;;;
Mécanique;1,08333;;24/03/2025;machine1;0;;;
Mécanique;2;;24/03/2025;machine1;0;;;
Electronique;0,41667;;24/03/2025;machine1;0;;;
Arrosage;2,25;;24/03/2025;machine3;0;;;
Mécanique;4;;24/03/2025;machine2;0;;;
Arrosage;2,91667;;24/03/2025;machine3;0;;;
Mécanique;0,58333;;23/03/2025;machine1;0;;;
Mécanique;0,46667;;22/03/2025;machine5;0;;;
Hydraulique;1,25;;22/03/2025;machine2;0;;;
Mécanique;0,58333;;22/03/2025;machine4;0;;;
Electronique;1;;21/03/2025;machine8;0;;;
Arrosage;0,53333;;21/03/2025;machine5;0;;;
Mécanique;0,41667;;21/03/2025;machine1;0;;;
Mécanique;0,5;;21/03/2025;machine1;0;;;
Hydraulique;0,66667;;21/03/2025;machine2;0;;;
Mécanique;0,75;;21/03/2025;machine2;0;;;
Mécanique;3,58333;;21/03/2025;machine8;0;;;
Arrosage;0,75;;20/03/2025;machine4;0;;;
Arrosage;1;;20/03/2025;machine5;0;;;
Hydraulique;0,5;;20/03/2025;machine1;0;;;
Arrosage;0,3;;20/03/2025;machine4;0;;;
Hydraulique;0,66667;;20/03/2025;machine4;0;;;
Hydraulique;1;;20/03/2025;machine2;0;;;
Hydraulique;1,5;;20/03/2025;machine2;0;;;
Pneumatique;0,5;;19/03/2025;machine5;0;;;
Mécanique;1,83333;;19/03/2025;machine5;0;;;
Arrosage;0,5;;19/03/2025;machine5;0;;;
Arrosage;0,5;;19/03/2025;machine5;0;;;
Mécanique;0,33333;;19/03/2025;machine3;0;;;
Mécanique;6;;19/03/2025;machine1;0;;;
Mécanique;0,58333;;18/03/2025;machine1;0;;;
Mécanique;1;;18/03/2025;machine5;690;93-2223 VITRE OPERATEUR VF;M-V0005;1.0
Arrosage;1,23333;;18/03/2025;machine5;0;;;
Mécanique;0,41667;;18/03/2025;machine5;0;;;
Mécanique;1,33333;;18/03/2025;machine1;0;;;
Hydraulique;1,5;;18/03/2025;machine1;0;;;
Mécanique;0,75;;18/03/2025;machine1;0;;;
Mécanique;2,08333;;18/03/2025;machine2;0;;;
Arrosage;0,66667;;18/03/2025;machine4;0;;;
Arrosage;1,5;;18/03/2025;machine4;0;;;
Arrosage;1,66667;;18/03/2025;machine4;0;;;
Electronique;0,5;;17/03/2025;machine5;0;;;
Hydraulique;1,33333;;17/03/2025;machine1;0;;;
Mécanique;4,16667;;17/03/2025;machine1;0;;;
Mécanique;9,41667;;17/03/2025;machine1;0;;;
Arrosage;0,91667;;17/03/2025;machine4;0;;;
Arrosage;0,75;;17/03/2025;machine4;0;;;
Electronique;0,31667;;17/03/2025;machine8;0;;;
Mécanique;15,5;;16/03/2025;machine1;0;;;
Arrosage;6;;16/03/2025;machine1;270;CABLE CODEUR MOTEUR ATC;M-CAB0023;1.0
Mécanique;5,5;;16/03/2025;machine2;0;;;
Hydraulique;0,91667;;15/03/2025;machine1;0;;;
Arrosage;0,7;;14/03/2025;machine5;0;;;
Pneumatique;1;;14/03/2025;machine5;0;;;
Mécanique;0,5;;14/03/2025;machine1;0;;;
Hydraulique;0,5;;13/03/2025;machine1;0;;;
Mécanique;4,75;;13/03/2025;machine1;0;;;
Electronique;0,41667;;13/03/2025;machine4;0;;;
Mécanique;0,58333;;13/03/2025;machine4;0;;;
Mécanique;1,41667;;13/03/2025;machine1;0;;;
Mécanique;1,5;;13/03/2025;machine2;0;;;
Arrosage;1,25;;13/03/2025;machine4;0;;;
Mécanique;0,66667;;12/03/2025;machine5;0;;;
Arrosage;0,41667;;12/03/2025;machine5;0;;;
Mécanique;6,08333;;12/03/2025;machine3;0;;;
Pneumatique;0,33333;;12/03/2025;machine1;0;;;
Mécanique;0,5;;11/03/2025;machine5;185,18;VITRE 1100x1000x400mm VF3SS;M-V0007;2.0
Arrosage;0,33333;;11/03/2025;machine5;0;;;
Mécanique;0,66667;;11/03/2025;machine1;0;;;
Mécanique;1,33333;;11/03/2025;machine2;0;;;
Mécanique;0,35;;11/03/2025;machine2;0;;;
Arrosage;0,33333;;11/03/2025;machine5;0;;;
Mécanique;10;;11/03/2025;machine2;0;;;
Hydraulique;0,25;;10/03/2025;machine1;0;;;
Arrosage;0,48333;;10/03/2025;machine5;0;;;
Arrosage;1;;10/03/2025;machine3;786,94;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;2.0
Mécanique;1,75;;10/03/2025;machine1;0;;;
Hydraulique;9,75;;10/03/2025;machine1;0;;;
Mécanique;1;;10/03/2025;machine2;0;;;
Electronique;0,58333;;10/03/2025;machine9;37,03;PROJECTEUR HAAS ;M-ECL0005;1.0
Arrosage;0,5;;10/03/2025;machine4;0;;;
Arrosage;0,75;;09/03/2025;machine2;0;;;
Arrosage;0,5;;09/03/2025;machine2;0;;;
Mécanique;0,41667;;07/03/2025;machine1;0;;;
Mécanique;0,58333;;07/03/2025;machine1;0;;;
Hydraulique;2,58333;;07/03/2025;machine2;147;(P40184A01 RAMPE DE GRAISSAGE - DPB- 16 0.1cc) DISTRIBUTEUR DE GRAISSAGE 6 ENTRER ( dester plunger DPB-16 0.1 CC) ref P40184A01;M-DIS0011;1.0
Hydraulique;0,73333;;07/03/2025;machine9;0;;;
Electronique;0,16667;;07/03/2025;machine4;0;;;
Arrosage;0,8;;07/03/2025;machine4;0;;;
Arrosage;0,66667;;07/03/2025;machine2;0;;;
Arrosage;0,91667;;07/03/2025;machine2;0;;;
Mécanique;3,16667;;06/03/2025;machine4;0;;;
Mécanique;1,5;;06/03/2025;machine1;0;;;
Hydraulique;1,16667;;06/03/2025;machine1;0;;;
Electronique;2;;06/03/2025;machine2;37,03;PROJECTEUR HAAS ;M-ECL0005;1.0
Hydraulique;6,83333;;06/03/2025;machine2;0;;;
Arrosage;0,25;;06/03/2025;machine4;0;;;
Mécanique;0,83333;;05/03/2025;machine5;0;;;
Mécanique;0,33333;;05/03/2025;machine5;0;;;
Arrosage;0,51667;;05/03/2025;machine5;0;;;
Mécanique;0,75;;05/03/2025;machine5;0;;;
Mécanique;13,33333;;05/03/2025;machine1;0;;;
Mécanique;4,25;;05/03/2025;machine1;0;;;
Mécanique;0,33333;;05/03/2025;machine2;0;;;
Arrosage;2,75;;05/03/2025;machine4;0;;;
Arrosage;0,25;;05/03/2025;machine4;0;;;
Arrosage;0,33333;;05/03/2025;machine4;0;;;
Arrosage;2,25;;05/03/2025;machine4;0;;;
Arrosage;0,16667;;05/03/2025;machine2;0;;;
Arrosage;3;;05/03/2025;machine2;1215,52;FILTER ELEMENT d'arrosage au centre NMV3/4  (FDYPTSF1012400W FILTER ELEMENT);M-F0043;2.0
Arrosage;2;;05/03/2025;machine4;14117,87;Pompe d'arrosage centre (coolant pump F. through 3.5MPA);M-PPE0017;1.0
Arrosage;6,25;;04/03/2025;machine4;0;;;
Arrosage;0,68333;;04/03/2025;machine1;0;;;
Mécanique;0,91667;;04/03/2025;machine2;0;;;
Arrosage;0,25;;04/03/2025;machine4;0;;;
Arrosage;1,5;;04/03/2025;machine4;796;JOINT TOURNANT NHX M12X1;M-JT0009;1.0
Arrosage;0,41667;;03/03/2025;machine3;0;;;
Mécanique;17,38333;;03/03/2025;machine5;46,3;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0
Mécanique;0,25;;03/03/2025;machine1;0;;;
Mécanique;4,16667;;03/03/2025;machine1;0;;;
Mécanique;0,66667;;03/03/2025;machine2;0;;;
Electronique;3,5;;03/03/2025;machine2;37,03;PROJECTEUR HAAS ;M-ECL0005;1.0
Arrosage;0,41667;;03/03/2025;machine3;0;;;
Arrosage;0,58333;;03/03/2025;machine2;0;;;
Arrosage;0,41667;;02/03/2025;machine4;0;;;
Arrosage;0,58333;;02/03/2025;machine2;0;;;
Mécanique;0,33333;;01/03/2025;machine5;0;;;
Mécanique;1,41667;;01/03/2025;machine3;0;;;
Arrosage;0,66667;;01/03/2025;machine4;0;;;
Mécanique;2,1;;01/03/2025;machine2;0;;;
Mécanique;12;;01/03/2025;machine2;0;;;
Divers;1,05;;28/02/2025;machine5;0;;;
Arrosage;2,08333;;28/02/2025;machine5;0;;;
Electronique;0,61667;;28/02/2025;machine1;0;;;
Mécanique;17,16667;;28/02/2025;machine1;0;;;
Arrosage;0,5;;28/02/2025;machine4;0;;;
Mécanique;0,58333;;28/02/2025;machine2;0;;;
Mécanique;11,25;;27/02/2025;machine1;0;;;
Mécanique;0,41667;;27/02/2025;machine2;0;;;
Electronique;3,83333;;27/02/2025;machine2;0;;;
Arrosage;0,33333;;27/02/2025;machine4;0;;;
Mécanique;0,5;;27/02/2025;machine2;0;;;
Arrosage;0,66667;;26/02/2025;machine5;0;;;
Mécanique;0,5;;26/02/2025;machine1;0;;;
Mécanique;3,41667;;26/02/2025;machine1;0;;;
Hydraulique;0,83333;;26/02/2025;machine2;0;;;
Mécanique;1,16667;;26/02/2025;machine2;0;;;
Arrosage;1,16667;;26/02/2025;machine3;393,47;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;1.0
Arrosage;0,33333;;26/02/2025;machine4;0;;;
Hydraulique;0,5;;26/02/2025;machine4;0;;;
Mécanique;0,16667;;26/02/2025;machine2;0;;;
Mécanique;0,91667;;25/02/2025;machine1;0;;;
Mécanique;0,41667;;25/02/2025;machine1;0;;;
Arrosage;0,33333;;25/02/2025;machine4;0;;;
Arrosage;14,5;;25/02/2025;machine4;428,76;COOLANT NOZZLE (buse);M-J0043;2.0
Arrosage;14,5;;25/02/2025;machine4;428,76;Filtre tambour 341x250mm (3PC);M-F0021;3.0
Arrosage;14,5;;25/02/2025;machine4;428,76;Flexible 10.5 MPA 1530 PSI 1m;M-FLEX0015;1.0
Electronique;1;;25/02/2025;machine2;0;;;
Mécanique;1;;24/02/2025;machine2;0;;;
Mécanique;74,5;;24/02/2025;machine1;0;;;
Electronique;13,81667;;24/02/2025;machine1;0;;;
Mécanique;0,58333;;24/02/2025;machine2;0;;;
Mécanique;69,83333;;24/02/2025;machine2;0;;;
Hydraulique;2,08333;;23/02/2025;machine1;0;;;
Hydraulique;2,08333;;23/02/2025;machine1;0;;;
Mécanique;1,08333;;23/02/2025;machine1;0;;;
Mécanique;0,75;;23/02/2025;machine1;0;;;
Mécanique;1,08333;;23/02/2025;machine2;0;;;
Mécanique;1;;23/02/2025;machine2;0;;;
Mécanique;1,91667;;23/02/2025;machine3;0;;;
Mécanique;46,5;;22/02/2025;machine4;13500;BROCHE NHX;M-ELB0003;1.0
Mécanique;0,33333;;22/02/2025;machine1;0;;;
Arrosage;0,5;;22/02/2025;machine4;0;;;
Mécanique;3,08333;;22/02/2025;machine4;0;;;
Hydraulique;0,58333;;21/02/2025;machine5;0;;;
Electronique;1,75;;21/02/2025;machine5;0;;;
Hydraulique;0,83333;;21/02/2025;machine1;0;;;
Mécanique;1,75;;21/02/2025;machine1;0;;;
Electronique;0,33333;;21/02/2025;machine2;0;;;
Electronique;0,66667;;21/02/2025;machine2;0;;;
Arrosage;0,65;;21/02/2025;machine4;0;;;
Mécanique;1,5;;21/02/2025;machine2;0;;;
Arrosage;0,5;;20/02/2025;machine5;0;;;
Arrosage;0,66667;;20/02/2025;machine5;0;;;
Hydraulique;1,16667;;20/02/2025;machine1;0;;;
Electronique;0,25;;19/02/2025;machine5;0;;;
Mécanique;2,5;;19/02/2025;machine2;0;;;
Arrosage;0,83333;;19/02/2025;machine2;0;;;
Mécanique;0,33333;;19/02/2025;machine2;0;;;
Hydraulique;629,33333;;19/02/2025;machine8;1608,64;Carte d'alimentation du circuit de refroidissement (GNLT6UNTA610A PLATINE PRINTED BOARD);M-ALIM0100;1.0
Arrosage;0,41667;;18/02/2025;machine4;0;;;
Pneumatique;0,33333;;17/02/2025;machine5;0;;;
Arrosage;0,25;;17/02/2025;machine5;0;;;
Mécanique;0,75;;17/02/2025;machine5;0;;;
Mécanique;1340,58333;;17/02/2025;machine3;26585,47;(ELCTRO BROCHE DA300) 28F010A-F6H5-W SPINDLE HEAD;M-ELB0010;1.0
Mécanique;1340,58333;;17/02/2025;machine3;26585,47;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;1.0
Mécanique;1340,58333;;17/02/2025;machine3;26585,47;ZLUE102 MIXING VALVE;M-HYD0021;1.0
Mécanique;11;;17/02/2025;machine1;0;;;
Mécanique;2,75;;17/02/2025;machine2;0;;;
Mécanique;0,33333;;17/02/2025;machine4;0;;;
Hydraulique;0,75;;17/02/2025;machine8;0;;;
Arrosage;0,5;;17/02/2025;machine2;1215,52;FILTER ELEMENT d'arrosage au centre NMV3/4  (FDYPTSF1012400W FILTER ELEMENT);M-F0043;2.0
Hydraulique;8,58333;;16/02/2025;machine1;0;;;
Mécanique;4,66667;;16/02/2025;machine2;0;;;
Arrosage;0,5;;15/02/2025;machine5;0;;;
Mécanique;0,33333;;15/02/2025;machine1;0;;;
Electronique;0,58333;;15/02/2025;machine2;0;;;
Mécanique;0,83333;;15/02/2025;machine3;0;;;
Mécanique;0,75;;15/02/2025;machine2;0;;;
Mécanique;66;;14/02/2025;machine5;0;;;
Arrosage;0,58333;;14/02/2025;machine4;0;;;
Mécanique;0,75;;13/02/2025;machine5;0;;;
Pneumatique;9,83333;;13/02/2025;machine5;0;;;
Hydraulique;1,63333;;13/02/2025;machine1;0;;;
Mécanique;0,83333;;13/02/2025;machine1;0;;;
Mécanique;1,41667;;13/02/2025;machine1;0;;;
Mécanique;1,25;;13/02/2025;machine1;0;;;
Mécanique;0,66667;;13/02/2025;machine3;0;;;
Hydraulique;1;;12/02/2025;machine1;0;;;
Hydraulique;1;;12/02/2025;machine2;0;;;
Mécanique;0,86667;;12/02/2025;machine3;0;;;
Electronique;0,5;;12/02/2025;machine4;0;;;
Arrosage;0,33333;;11/02/2025;machine5;0;;;
Hydraulique;2;;11/02/2025;machine1;0;;;
Arrosage;0,58333;;11/02/2025;machine4;0;;;
Arrosage;0,25;;11/02/2025;machine5;0;;;
Arrosage;1,5;;11/02/2025;machine4;0;;;
Mécanique;2;;10/02/2025;machine6;0;;;
Arrosage;0,16667;;10/02/2025;machine5;260;FILTRE d'arrosage de la pompe au bag d'arrosage ref HAAS (25-10122);M-F0046;1.0
Arrosage;0,33333;;10/02/2025;machine5;0;;;
Arrosage;0,25;;10/02/2025;machine5;0;;;
Electronique;1,75;;10/02/2025;machine1;0;;;
Arrosage;0,75;;10/02/2025;machine3;0;;;
Arrosage;0,66667;;10/02/2025;machine3;0;;;
Hydraulique;1,91667;;09/02/2025;machine1;0;;;
Arrosage;0,66667;;09/02/2025;machine4;0;;;
Arrosage;5,41667;;09/02/2025;machine2;0;;;
Arrosage;1;;09/02/2025;machine2;0;;;
Arrosage;0,41667;;08/02/2025;machine5;0;;;
Arrosage;0,5;;08/02/2025;machine5;0;;;
Hydraulique;18,25;;08/02/2025;machine1;0;;;
Arrosage;0,43333;;08/02/2025;machine5;0;;;
Arrosage;0,33333;;07/02/2025;machine5;0;;;
Mécanique;0,58333;;07/02/2025;machine1;0;;;
Hydraulique;0,5;;07/02/2025;machine1;0;;;
Hydraulique;1,5;;07/02/2025;machine1;0;;;
Hydraulique;2,91667;;07/02/2025;machine1;0;;;
Mécanique;1,5;;07/02/2025;machine1;0;;;
Pneumatique;0,41667;;07/02/2025;machine2;0;;;
Mécanique;3,5;;07/02/2025;machine2;0;;;
Arrosage;0,83333;;07/02/2025;machine4;0;;;
Mécanique;0,33333;;07/02/2025;machine2;0;;;
Arrosage;1,58333;;07/02/2025;machine2;0;;;
Hydraulique;0,75;;06/02/2025;machine1;0;;;
Mécanique;1,61667;;06/02/2025;machine6;0;;;
Arrosage;0,68333;;06/02/2025;machine5;0;;;
Arrosage;0,58333;;06/02/2025;machine5;0;;;
Mécanique;0,75;;06/02/2025;machine1;0;;;
Mécanique;0,41667;;06/02/2025;machine1;0;;;
Mécanique;1,25;;06/02/2025;machine1;0;;;
Mécanique;1,5;;06/02/2025;machine1;0;;;
Mécanique;5,5;;06/02/2025;machine1;0;;;
Hydraulique;1,66667;;06/02/2025;machine1;0;;;
Arrosage;0,83333;;06/02/2025;machine4;0;;;
Arrosage;0,5;;06/02/2025;machine4;0;;;
Mécanique;101;;06/02/2025;machine5;0;;;
Hydraulique;0,83333;;05/02/2025;machine1;0;;;
Mécanique;0,58333;;05/02/2025;machine1;0;;;
Mécanique;0,75;;05/02/2025;machine2;0;;;
Mécanique;0,81667;;05/02/2025;machine2;0;;;
Mécanique;0,25;;05/02/2025;machine2;0;;;
Arrosage;5,58333;;04/02/2025;machine5;0;;;
Mécanique;2;;04/02/2025;machine1;0;;;
Mécanique;3,25;;04/02/2025;machine1;0;;;
Mécanique;19;;04/02/2025;machine10;674;POMPE DOSEUSE DOSATRON D3RE10VVF;M-PPE0014;1.0
Arrosage;0,33333;;03/02/2025;machine5;0;;;
Arrosage;1,15;;03/02/2025;machine5;0;;;
Arrosage;0,41667;;03/02/2025;machine5;0;;;
Arrosage;0,41667;;03/02/2025;machine5;0;;;
Mécanique;0,83333;;03/02/2025;machine4;0;;;
Mécanique;12,5;;02/02/2025;machine2;0;;;
Mécanique;1,16667;;01/02/2025;machine5;46,3;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0
Arrosage;0,66667;;01/02/2025;machine1;0;;;
Arrosage;0,5;;01/02/2025;machine4;0;;;
Mécanique;1,13333;;01/02/2025;machine8;0;;;
Mécanique;1,33333;;01/02/2025;machine2;0;;;
Mécanique;0,58333;;01/02/2025;machine2;0;;;
Hydraulique;4,86667;;31/01/2025;machine6;0;;;
Mécanique;16,33333;;31/01/2025;machine5;0;;;
Informatique;2;;31/01/2025;machine1;0;;;
Arrosage;0,66667;;31/01/2025;machine4;0;;;
Arrosage;0,63333;;30/01/2025;machine5;0;;;
Arrosage;1,05;;30/01/2025;machine5;0;;;
Arrosage;0,58333;;30/01/2025;machine1;0;;;
Mécanique;0,91667;;30/01/2025;machine1;0;;;
Mécanique;1,08333;;30/01/2025;machine1;0;;;
Programme;3,33333;;30/01/2025;machine2;0;;;
Mécanique;0,5;;30/01/2025;machine8;0;;;
