Type de panne;Durée arrêt (h);Date intervention;Désignation;Catégorie de panne;Nombre d'heures MO;Coût total intervention;[MO interne].Nom;[MO interne].Prénom;[MO interne].Nombre d'heures
Mécanique;6,08333;12/03/2025;machine4;Mécanique;1,5;4,17;tech;eight;0,5
Mécanique;6,08333;12/03/2025;machine4;Mécanique;1,5;4,17;tech;three;0,5
Pneumatique;0,33333;12/03/2025;machine3;Pneumatique;0,66666;18,23;tech;six;0,33333
Pneumatique;0,33333;12/03/2025;machine3;Pneumatique;0,66666;18,23;tech;seven;0,33333
Arrosage;0,33333;11/03/2025;machine2;Arrosage;0,33333;2,78;tech;six;0,33333
Mécanique;0,5;11/03/2025;machine2;Mécanique;0,66666;190,74;tech;four;0,33333
Mécanique;0,5;11/03/2025;machine2;Mécanique;0,66666;190,74;tech;five;0,33333
Arrosage;0,33333;11/03/2025;machine2;Arrosage;0,5;4,16;tech;four;0,25
Arrosage;0,33333;11/03/2025;machine2;Arrosage;0,5;4,16;tech;five;0,25
Mécanique;0,66667;11/03/2025;machine3;Mécanique;1;33,67;tech;six;0,5
Mécanique;0,66667;11/03/2025;machine3;Mécanique;1;33,67;tech;seven;0,5
Mécanique;1,33333;11/03/2025;machine1;Mécanique;0,5;62,84;tech;five;0,5
Mécanique;0,35;11/03/2025;machine1;Mécanique;0,25;0;tech;three;0,25
Mécanique;10;11/03/2025;machine1;Mécanique;10;83,3;tech;two;2
Mécanique;10;11/03/2025;machine1;Mécanique;10;83,3;tech;seven;8
Hydraulique;0,25;10/03/2025;machine3;Hydraulique;0,25;11,58;tech;six;0,25
Arrosage;0,48333;10/03/2025;machine2;Arrosage;0,5;4,17;tech;one;0,5
Arrosage;1;10/03/2025;machine4;Arrosage;1;795,27;tech;one;1
Mécanique;1,75;10/03/2025;machine3;Mécanique;1,75;81,08;tech;one;1,75
Hydraulique;9,75;10/03/2025;machine3;Hydraulique;0,5;374,67;tech;six;0,5
Mécanique;1;10/03/2025;machine1;Mécanique;2;60,66;tech;four;1
Mécanique;1;10/03/2025;machine1;Mécanique;2;60,66;tech;five;1
Arrosage;0,5;10/03/2025;machine6;Arrosage;0,5;22,17;tech;one;0,5
Electronique;0,58333;10/03/2025;machine7;Electronique;1,16666;46,75;tech;two;0,58333
Electronique;0,58333;10/03/2025;machine7;Electronique;1,16666;46,75;tech;six;0,58333
Arrosage;0,75;09/03/2025;machine1;Arrosage;0,58333;37,86;tech;one;0,58333
Arrosage;0,5;09/03/2025;machine1;Arrosage;0,5;4,17;tech;one;0,5
Mécanique;0,41667;07/03/2025;machine3;Mécanique;0,3;15,83;tech;three;0,3
Mécanique;0,58333;07/03/2025;machine3;Mécanique;0,66666;27,73;tech;four;0,33333
Mécanique;0,58333;07/03/2025;machine3;Mécanique;0,66666;27,73;tech;five;0,33333
Hydraulique;2,58333;07/03/2025;machine1;Hydraulique;2;277,33;tech;one;2
Hydraulique;0,73333;07/03/2025;machine7;Hydraulique;0,56667;4,72;tech;one;0,56667
Electronique;0,16667;07/03/2025;machine6;Electronique;0,16667;6;tech;eight;0,16667
Arrosage;0,8;07/03/2025;machine6;Arrosage;1;37,14;tech;four;0,5
Arrosage;0,8;07/03/2025;machine6;Arrosage;1;37,14;tech;five;0,5
Arrosage;0,66667;07/03/2025;machine1;Arrosage;0,66666;5,56;tech;four;0,33333
Arrosage;0,66667;07/03/2025;machine1;Arrosage;0,66666;5,56;tech;five;0,33333
Arrosage;0,91667;07/03/2025;machine1;Arrosage;0,41667;0;tech;three;0,41667
Mécanique;3,16667;06/03/2025;machine6;Mécanique;4;122,33;tech;one;1
Mécanique;3,16667;06/03/2025;machine6;Mécanique;4;122,33;tech;eight;1,5
Mécanique;3,16667;06/03/2025;machine6;Mécanique;4;122,33;tech;three;1,5
Mécanique;1,5;06/03/2025;machine3;Mécanique;0,75;57;tech;three;0,75
Hydraulique;1,16667;06/03/2025;machine3;Hydraulique;1,33334;55,43;tech;four;0,66667
Hydraulique;1,16667;06/03/2025;machine3;Hydraulique;1,33334;55,43;tech;five;0,66667
Electronique;2;06/03/2025;machine1;Electronique;6;158,35;tech;two;2
Electronique;2;06/03/2025;machine1;Electronique;6;158,35;tech;one;2
Electronique;2;06/03/2025;machine1;Electronique;6;158,35;tech;three;2
Hydraulique;6,83333;06/03/2025;machine1;Hydraulique;7,83333;365,93;tech;one;2,83333
Hydraulique;6,83333;06/03/2025;machine1;Hydraulique;7,83333;365,93;tech;six;2,5
Hydraulique;6,83333;06/03/2025;machine1;Hydraulique;7,83333;365,93;tech;seven;2,5
Arrosage;0,25;06/03/2025;machine6;Arrosage;0,25;11,08;tech;six;0,25
Mécanique;0,83333;05/03/2025;machine2;Mécanique;0,16667;1,39;tech;seven;0,16667
Mécanique;0,33333;05/03/2025;machine2;Mécanique;0,3;0;tech;three;0,3
Arrosage;0,51667;05/03/2025;machine2;Arrosage;1;8,34;tech;six;0,5
Arrosage;0,51667;05/03/2025;machine2;Arrosage;1;8,34;tech;seven;0,5
Mécanique;0,75;05/03/2025;machine2;Mécanique;0,5;4,17;tech;five;0,5
Mécanique;13,33333;05/03/2025;machine3;Mécanique;1;515;tech;seven;1
Mécanique;4,25;05/03/2025;machine3;Mécanique;1,33333;172,61;tech;five;1,33333
Mécanique;0,33333;05/03/2025;machine1;Mécanique;0,33333;17,45;tech;six;0,33333
Arrosage;2,75;05/03/2025;machine6;Arrosage;2,66667;99;tech;three;2,66667
Arrosage;0,25;05/03/2025;machine6;Arrosage;0,25;11,08;tech;six;0,25
Arrosage;0,33333;05/03/2025;machine6;Arrosage;0,66666;17,56;tech;six;0,33333
Arrosage;0,33333;05/03/2025;machine6;Arrosage;0,66666;17,56;tech;seven;0,33333
Arrosage;2,25;05/03/2025;machine6;Arrosage;1,83333;96,27;tech;six;1,83333
Arrosage;0,16667;05/03/2025;machine1;Arrosage;0,16667;1,39;tech;seven;0,16667
Arrosage;3;05/03/2025;machine1;Arrosage;2;1232,18;tech;two;2
Arrosage;2;05/03/2025;machine6;Arrosage;4;14223,19;tech;six;2
Arrosage;2;05/03/2025;machine6;Arrosage;4;14223,19;tech;seven;2
Arrosage;6,25;04/03/2025;machine6;Arrosage;12;324,96;tech;four;6
Arrosage;6,25;04/03/2025;machine6;Arrosage;12;324,96;tech;five;6
Arrosage;0,68333;04/03/2025;machine3;Arrosage;0,41667;25,97;tech;three;0,41667
Mécanique;0,91667;04/03/2025;machine1;Mécanique;1,25;40,33;tech;eight;0,5
Mécanique;0,91667;04/03/2025;machine1;Mécanique;1,25;40,33;tech;three;0,75
Arrosage;0,25;04/03/2025;machine6;Arrosage;0,25;11,08;tech;six;0,25
Arrosage;1,5;04/03/2025;machine6;Arrosage;3;875;tech;six;1,5
Arrosage;1,5;04/03/2025;machine6;Arrosage;3;875;tech;seven;1,5
Arrosage;0,41667;03/03/2025;machine4;Arrosage;0,33333;0;tech;three;0,33333
Mécanique;17,38333;03/03/2025;machine2;Mécanique;16,5;87,95;tech;two;1
Mécanique;17,38333;03/03/2025;machine2;Mécanique;16,5;87,95;tech;six;2
Mécanique;17,38333;03/03/2025;machine2;Mécanique;16,5;87,95;tech;seven;2
Mécanique;17,38333;03/03/2025;machine2;Mécanique;16,5;87,95;tech;eight;6
Mécanique;17,38333;03/03/2025;machine2;Mécanique;16,5;87,95;tech;three;5,5
Mécanique;0,25;03/03/2025;machine3;Mécanique;0,25;11,58;tech;six;0,25
Mécanique;4,16667;03/03/2025;machine3;Mécanique;4;174,99;tech;two;2
Mécanique;4,16667;03/03/2025;machine3;Mécanique;4;174,99;tech;three;2
Mécanique;0,66667;03/03/2025;machine1;Mécanique;0,66667;34,88;tech;six;0,66667
Electronique;3,5;03/03/2025;machine1;Electronique;4;207,69;tech;two;2
Electronique;3,5;03/03/2025;machine1;Electronique;4;207,69;tech;eight;2
Arrosage;0,41667;03/03/2025;machine4;Arrosage;0,25;0;tech;three;0,25
Arrosage;0,58333;03/03/2025;machine1;Arrosage;0,93334;0;tech;eight;0,46667
Arrosage;0,58333;03/03/2025;machine1;Arrosage;0,93334;0;tech;three;0,46667
Arrosage;0,41667;02/03/2025;machine6;Arrosage;0,41667;18,47;tech;one;0,41667
Arrosage;0,58333;02/03/2025;machine1;Arrosage;0,5;4,17;tech;one;0,5
Mécanique;0,33333;01/03/2025;machine2;Mécanique;0,33333;2,78;tech;one;0,33333
Mécanique;1,41667;01/03/2025;machine4;Mécanique;2,66666;22,22;tech;four;1,33333
Mécanique;1,41667;01/03/2025;machine4;Mécanique;2,66666;22,22;tech;one;1,33333
Arrosage;0,66667;01/03/2025;machine6;Arrosage;0,5;28,17;tech;five;0,5
Mécanique;2,1;01/03/2025;machine1;Mécanique;2,75;22,91;tech;four;1
Mécanique;2,1;01/03/2025;machine1;Mécanique;2,75;22,91;tech;five;1,75
Mécanique;12;01/03/2025;machine1;Mécanique;0,41667;3,47;tech;one;0,41667
Divers;1,05;28/02/2025;machine2;Divers;0,33333;2,78;tech;five;0,33333
Arrosage;2,08333;28/02/2025;machine2;Arrosage;0,41667;0;tech;three;0,41667
Electronique;0,61667;28/02/2025;machine3;Electronique;0,25;25,51;tech;six;0,25
Mécanique;17,16667;28/02/2025;machine3;Mécanique;2;668,99;tech;seven;2
Arrosage;0,5;28/02/2025;machine6;Arrosage;1;26,34;tech;four;0,5
Arrosage;0,5;28/02/2025;machine6;Arrosage;1;26,34;tech;five;0,5
Mécanique;0,58333;28/02/2025;machine1;Mécanique;0,5;4,17;tech;five;0,5
Mécanique;11,25;27/02/2025;machine3;Mécanique;18;494,14;tech;six;4
Mécanique;11,25;27/02/2025;machine3;Mécanique;18;494,14;tech;seven;4
Mécanique;11,25;27/02/2025;machine3;Mécanique;18;494,14;tech;eight;5
Mécanique;11,25;27/02/2025;machine3;Mécanique;18;494,14;tech;three;5
Mécanique;0,41667;27/02/2025;machine1;Mécanique;0,83334;25,27;tech;six;0,41667
Mécanique;0,41667;27/02/2025;machine1;Mécanique;0,83334;25,27;tech;seven;0,41667
Electronique;3,83333;27/02/2025;machine1;Electronique;0,33333;171,45;tech;two;0,33333
Arrosage;0,33333;27/02/2025;machine6;Arrosage;0,5;16,16;tech;six;0,25
Arrosage;0,33333;27/02/2025;machine6;Arrosage;0,5;16,16;tech;seven;0,25
Mécanique;0,5;27/02/2025;machine1;Mécanique;0,25;0;tech;eight;0,25
Arrosage;1,16667;26/02/2025;machine4;Arrosage;1,66666;407,35;tech;six;0,83333
Arrosage;1,16667;26/02/2025;machine4;Arrosage;1,66666;407,35;tech;seven;0,83333
Arrosage;0,66667;26/02/2025;machine2;Arrosage;0,66667;5,55;tech;two;0,66667
Mécanique;0,5;26/02/2025;machine3;Mécanique;0,66666;24,56;tech;six;0,33333
Mécanique;0,5;26/02/2025;machine3;Mécanique;0,66666;24,56;tech;seven;0,33333
Mécanique;3,41667;26/02/2025;machine3;Mécanique;6,50001;183,97;tech;four;2,5
Mécanique;3,41667;26/02/2025;machine3;Mécanique;6,50001;183,97;tech;six;0,66667
Mécanique;3,41667;26/02/2025;machine3;Mécanique;6,50001;183,97;tech;seven;0,66667
Mécanique;3,41667;26/02/2025;machine3;Mécanique;6,50001;183,97;tech;five;2,66667
Hydraulique;0,83333;26/02/2025;machine1;Hydraulique;0,33334;39,45;tech;six;0,16667
Hydraulique;0,83333;26/02/2025;machine1;Hydraulique;0,33334;39,45;tech;seven;0,16667
Mécanique;1,16667;26/02/2025;machine1;Mécanique;1,33332;56,89;tech;six;0,33333
Mécanique;1,16667;26/02/2025;machine1;Mécanique;1,33332;56,89;tech;seven;0,33333
Mécanique;1,16667;26/02/2025;machine1;Mécanique;1,33332;56,89;tech;eight;0,33333
Mécanique;1,16667;26/02/2025;machine1;Mécanique;1,33332;56,89;tech;three;0,33333
Arrosage;0,33333;26/02/2025;machine6;Arrosage;0,33333;14,78;tech;two;0,33333
Hydraulique;0,5;26/02/2025;machine6;Hydraulique;0,33334;20,78;tech;six;0,16667
Hydraulique;0,5;26/02/2025;machine6;Hydraulique;0,33334;20,78;tech;seven;0,16667
Mécanique;0,16667;26/02/2025;machine1;Mécanique;0,16667;1,39;tech;six;0,16667
Mécanique;0,91667;25/02/2025;machine3;Mécanique;0,41667;34,83;tech;three;0,41667
Mécanique;0,41667;25/02/2025;machine3;Mécanique;0,33333;18,61;tech;five;0,33333
Arrosage;0,33333;25/02/2025;machine6;Arrosage;0,25;14,08;tech;six;0,25
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;two;0,5
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;six;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;seven;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;five;4
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;two;0,5
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;six;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;seven;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;five;4
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;two;0,5
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;six;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;seven;6
Arrosage;14,5;25/02/2025;machine6;Arrosage;16,5;1088,21;tech;five;4
Electronique;1;25/02/2025;machine1;Electronique;1,5;44;tech;eight;0,75
Electronique;1;25/02/2025;machine1;Electronique;1,5;44;tech;three;0,75
Mécanique;1;24/02/2025;machine1;Mécanique;1;52,33;tech;two;1
Mécanique;74,5;24/02/2025;machine3;Mécanique;14;2947,62;tech;two;14
Electronique;13,81667;24/02/2025;machine3;Electronique;21;566,68;tech;two;1
Electronique;13,81667;24/02/2025;machine3;Electronique;21;566,68;tech;one;4
Electronique;13,81667;24/02/2025;machine3;Electronique;21;566,68;tech;eight;8
Electronique;13,81667;24/02/2025;machine3;Electronique;21;566,68;tech;three;8
Mécanique;0,58333;24/02/2025;machine1;Mécanique;1,16666;9,72;tech;six;0,58333
Mécanique;0,58333;24/02/2025;machine1;Mécanique;1,16666;9,72;tech;seven;0,58333
Mécanique;69,83333;24/02/2025;machine1;Mécanique;26;216,58;tech;two;26
